City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,sitka,57.0531,-135.33,277.09,81,100,4.12,US,1676765518
109,lazo,43.3817,133.9014,267.32,90,100,1.58,RU,1676765519
110,oranjemund,-28.55,16.4333,291.51,82,95,2.0,NA,1676765519
111,kirakira,-10.4544,161.9205,302.76,63,79,1.41,SB,1676765520
112,sao gabriel da cachoeira,-0.1303,-67.0892,296.43,97,100,0.59,BR,1676765520
113,san patricio,28.017,-97.5169,289.55,63,100,4.46,US,1676765521
114,bredasdorp,-34.5322,20.0403,291.59,77,27,1.72,ZA,1676765523
115,olinda,-8.0089,-34.8553,299.69,78,80,4.8,BR,1676765524
116,chokurdakh,70.6333,147.9167,228.6,100,87,0.34,RU,1676765526
117,butaritari,3.0707,172.7902,300.52,76,13,4.35,KI,1676765529
118,mar del plata,-38.0023,-57.5575,289.19,75,28,0.0,AR,1676765267
119,coquimbo,-29.9533,-71.3436,295.0,56,0,4.63,CL,1676765532
120,pevek,69.7008,170.3133,238.05,91,100,0.9,RU,1676765533
121,jiexiu,37.0244,111.9125,271.97,41,0,3.44,CN,1676765533
122,todos santos,23.45,-110.2167,292.84,77,100,2.65,MX,1676765534
123,ueno,34.75,136.1333,285.61,86,100,4.81,JP,1676765535
124,fortuna,40.5982,-124.1573,284.78,77,0,5.66,US,1676765535
125,georgetown,5.4112,100.3354,299.11,73,20,2.06,MY,1676765274
126,limbang,4.75,115.0,298.21,95,100,0.37,MY,1676765537
127,nuevitas,21.5453,-77.2644,297.48,70,2,5.71,CU,1676765539
128,chuy,-33.6971,-53.4616,288.46,51,5,4.25,UY,1676765542
129,harper,4.375,-7.7169,299.74,87,5,3.01,LR,1676765545
130,nome,64.5011,-165.4064,261.19,79,100,2.57,US,1676765545
131,saint-philippe,-21.3585,55.7679,296.92,81,48,4.11,RE,1676765549
132,lorengau,-2.0226,147.2712,300.82,79,98,1.67,PG,1676765557
133,barrow,71.2906,-156.7887,251.16,71,100,2.06,US,1676765558
134,iskele,39.484,26.9278,281.2,93,40,0.0,TR,1676765559
135,warrington,53.3925,-2.5802,283.49,88,75,10.29,GB,1676765282
136,puerto madryn,-42.7692,-65.0385,291.59,46,38,10.68,AR,1676765560
137,saskylakh,71.9167,114.0833,251.19,97,99,4.2,RU,1676765561
138,cayenne,4.9333,-52.3333,297.17,94,100,2.57,GF,1676765561
139,yebaishou,41.3975,119.6408,266.19,51,0,3.26,CN,1676765562
140,tianpeng,30.9866,103.9393,279.42,57,45,1.71,CN,1676765563
141,pacific grove,36.6177,-121.9166,291.7,64,0,3.6,US,1676765564
142,waipawa,-41.4122,175.5153,294.55,52,3,4.17,NZ,1676765382
143,moyobamba,-6.05,-76.9667,293.65,94,66,0.39,PE,1676765564
144,rio gallegos,-51.6226,-69.2181,286.18,38,40,4.12,AR,1676765540
145,norman wells,65.282,-126.8329,252.45,91,87,2.93,CA,1676765565
146,marsh harbour,26.5412,-77.0636,296.3,79,99,8.62,BS,1676765566
147,sisimiut,66.9395,-53.6735,261.91,90,88,3.01,GL,1676765567
148,sorland,67.667,12.6934,275.07,63,50,2.55,NO,1676765568
149,beloha,-25.1667,45.05,296.83,89,61,0.46,MG,1676765568
150,hofn,64.2539,-15.2082,273.74,99,100,5.46,IS,1676765569
151,mount gambier,-37.8333,140.7667,294.91,51,17,3.2,AU,1676765552
152,abomey,7.1829,1.9912,296.94,39,48,1.2,BJ,1676765570
153,upernavik,72.7868,-56.1549,252.01,78,96,4.93,GL,1676765570
154,dunedin,-45.8742,170.5036,294.71,70,84,0.89,NZ,1676765570
155,kavieng,-2.5744,150.7967,300.77,77,99,1.24,PG,1676765571
156,nikolskoye,59.7035,30.7861,269.09,88,100,5.78,RU,1676765571
157,havre-saint-pierre,50.2334,-63.5986,261.35,85,100,5.66,CA,1676765572
158,broome,42.2506,-75.833,275.86,52,0,4.63,US,1676765572
159,ciudad bolivar,8.1222,-63.5497,300.43,55,86,4.0,VE,1676765573
160,montrose,38.4166,-108.2673,266.22,76,83,2.2,US,1676765352
161,lima,-12.0432,-77.0282,297.29,69,0,6.17,PE,1676765566
162,chicama,-7.8447,-79.1469,297.45,66,82,3.27,PE,1676765573
163,sidhi,24.4167,81.8833,289.55,48,0,0.43,IN,1676765574
164,nouadhibou,20.931,-17.0347,290.84,73,95,9.08,MR,1676765574
165,ilebo,-4.3167,20.5833,295.5,89,95,0.7,CD,1676765574
166,beringovskiy,63.05,179.3167,251.0,95,100,6.71,RU,1676765569
167,vila velha,-20.3297,-40.2925,299.12,90,20,2.57,BR,1676765575
168,qaanaaq,77.484,-69.3632,249.41,53,19,3.65,GL,1676765575
169,portland,45.5234,-122.6762,284.11,82,100,3.6,US,1676765305
170,esperance,-33.8667,121.9,295.32,75,0,6.47,AU,1676765576
171,abrau-dyurso,44.69,37.59,280.85,96,100,6.63,RU,1676765576
172,mariano comense,45.6921,9.1797,281.98,89,93,0.45,IT,1676765577
173,ust-kuyga,70.0167,135.6,232.17,100,99,1.92,RU,1676765577
174,jumla,29.2747,82.1838,280.08,53,6,1.86,NP,1676765577
175,laguna,38.421,-121.4238,289.91,36,0,1.54,US,1676765578
176,yining,29.0361,114.5636,284.03,79,100,1.47,CN,1676765578
177,smithers,54.7804,-127.1743,275.5,91,99,0.75,CA,1676765579
178,tahoua,14.8888,5.2692,291.21,13,21,5.99,NE,1676765579
179,thompson,55.7435,-97.8558,248.81,96,100,1.63,CA,1676765580
180,melilla,35.2937,-2.9383,288.36,94,100,4.63,ES,1676765580
181,hadgaon,19.5,77.6667,293.65,27,0,1.47,IN,1676765581
182,shellbrook,53.2168,-106.4011,261.22,90,94,4.0,CA,1676765581
183,nizhniy baskunchak,48.2198,46.8311,272.71,98,100,7.3,RU,1676765582
184,manggar,-2.8833,108.2667,299.25,85,77,3.9,ID,1676765583
185,salima,-13.7804,34.4587,294.39,92,100,1.0,MW,1676765584
186,airai,-8.9266,125.4092,292.37,77,89,0.33,TL,1676765585
187,bereslavka,48.6254,44.0449,273.53,98,100,7.35,RU,1676765585
188,lusambo,-4.9667,23.45,295.14,94,100,1.09,CD,1676765587
189,liverpool,53.4106,-2.9779,283.39,88,75,10.29,GB,1676765434
190,kashi,39.4547,75.9797,273.11,86,89,1.75,CN,1676765588
191,tabou,4.423,-7.3528,299.76,87,6,2.65,CI,1676765591
192,ammon,43.4696,-111.9666,266.43,76,100,4.63,US,1676765592
193,abu samrah,35.3029,37.1841,279.39,70,0,1.66,SY,1676765592
194,aklavik,68.2191,-135.0107,250.06,94,100,5.42,CA,1676765593
195,asfi,32.2994,-9.2372,288.06,71,72,3.23,MA,1676765594
196,tura,25.5198,90.2201,289.23,46,0,1.34,IN,1676765595
197,great yarmouth,52.6083,1.7305,284.49,82,88,9.12,GB,1676765597
198,bom jesus da lapa,-13.255,-43.4181,297.59,69,76,2.35,BR,1676765599
199,saint george,37.1041,-113.5841,287.18,27,0,1.34,US,1676765553
200,bar harbor,44.3876,-68.2039,272.6,71,0,2.24,US,1676765487
201,port-gentil,-0.7193,8.7815,300.84,83,94,4.46,GA,1676765601
202,walvis bay,-22.9575,14.5053,290.42,93,5,3.3,NA,1676765602
203,selizharovo,56.8519,33.4487,266.18,94,100,5.16,RU,1676765602
204,wanning,18.8003,110.3967,293.67,87,89,3.72,CN,1676765603
